time,close,Volume,Global M2 YoY % Change (USD),HR Raw,HR SMA Long,HR SMA Short,Oscillator,Capitulation,Miner Capitulation,Recovering,Recovered,Buy
915148800,694638000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
917827200,692641000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
920246400,699396000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
922924800,698296000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
925516800,705060000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
928195200,695644000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
930787200,739725000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
933465600,733966000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
936144000,728600000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
938736000,742624000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
941414400,743495000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
944006400,803192000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
946684800,772749000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
949363200,752207000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
951868800,774421000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
954547200,782962000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
957139200,779222000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
959817600,812468000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
962409600,800725000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
965088000,796968000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
967766400,826310000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
970358400,822086000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
973036800,833103000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
975628800,835065000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
978307200,853462000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
980985600,871589000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
983404800,847959000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
986083200,839272000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
988675200,825427000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
991353600,862767000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
993945600,862061000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
996624000,833389000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
999302400,817364000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1001894400,809996000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1004572800,810690000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1007164800,814662000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1009843200,839687000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1012521600,777402000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1014940800,814901000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1017619200,788835000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1020211200,793333000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1022889600,780845000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1025481600,783540000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1028160000,770838000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1030838400,772822000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1033430400,798028000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1036108800,796464000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1038700800,832558000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1041379200,786730000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1044057600,790649000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1046476800,798674000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1049155200,800643000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1051747200,801435000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1054425600,813568000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1057017600,828475000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1059696000,814810000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1062374400,829239000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1064966400,818606000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1067644800,833339000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1070236800,835157000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1072915200,824392000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1075593600,824024000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1078099200,830349000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1080777600,853538000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1083369600,867250000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1086048000,895838000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1088640000,883749000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1091318400,881876000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
1093996800,885811000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
