time,close,Volume,Global M2 YoY % Change (USD),HR Raw,HR SMA Long,HR SMA Short,Oscillator,Capitulation,Miner Capitulation,Recovering,Recovered,Buy
0,4864500000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
2678400,5006200000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
5097600,5696700000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
7776000,5193600000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
10368000,5009600000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
13046400,5321400000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
15638400,5401200000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
18316800,5347700000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
20995200,5305100000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
23587200,5326900000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
26265600,5436500000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
28857600,6429100000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
31536000,5676600000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
34214400,5864900000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
36633600,6546000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
39312000,6107900000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
41904000,5834300000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
44582400,6190900000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
47174400,6163000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
49852800,6587500000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
52531200,6502700000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
55123200,6378400000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
57801600,6804900000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
60393600,7719500000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
63072000,6830400000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
65750400,6912700000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
68256000,7696500000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
70934400,6833600000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
73526400,6650600000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
76204800,7134000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
78796800,7286200000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
81475200,7256100000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
84153600,6998500000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
86745600,7035700000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
89424000,7324200000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
92016000,9042000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
94694400,7891300000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
97372800,8438299999999.999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
99792000,10509700000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
102470400,8954600000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
105062400,8849200000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
107740800,9573600000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
110332800,9710200000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
113011200,9538400000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
115689600,10003900000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
118281600,10129200000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
120960000,10504000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
123552000,12472800000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
126230400,10905800000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
128908800,11086300000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
131328000,14101500000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
134006400,11999400000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
136598400,11667900000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
139276800,12589800000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
141868800,12915000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
144547200,12524500000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
147225600,13211600000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
149817600,12601200000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
152496000,12817800000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
155088000,15024200000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
157766400,13422900000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
160444800,13758500000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
162864000,15810200000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
165542400,14258400000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
168134400,13456200000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
170812800,14236100000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
173404800,14163900000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
176083200,14099300000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
178761600,14276600000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
181353600,14923800000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
184032000,13794200000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
186624000,15623500000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0
